"ReportLast90_21 (2021-01-07 - 2021-04-06)"
Date	CampaignName	AvgClickPosition	Impressions	Clicks	Ctr	Cost	AvgCpc	AvgPageviews	Placement
2021-01-07	Test API Sandbox campaign 1	1.11	1260	120	9.52	94070000	780000	1.82	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.20	10230	730	7.14	261860000	360000	1.62	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.16	2228	98	4.40	65340000	670000	5.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.11	593	34	5.73	21610000	640000	1.57	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.25	478	56	11.72	19960000	360000	2.51	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.19	586	54	9.22	29490000	550000	3.70	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.17	241	7	2.90	4830000	690000	2.50	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.14	1243	36	2.90	22120000	610000	4.90	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.21	575	78	13.57	32800000	420000	3.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	--	29	0	0.00	0	--	--	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.20	78	7	8.97	8010000	1140000	1.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.12	991	56	5.65	27460000	490000	2.74	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.14	432	18	4.17	6610000	370000	5.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.18	1461	52	3.56	48050000	920000	2.33	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.00	57	8	14.04	2540000	320000	3.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.21	1320	104	7.88	66480000	640000	2.67	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.20	2504	160	6.39	135760000	850000	3.21	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.22	806	48	5.96	36610000	760000	3.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.22	241	12	4.98	3050000	250000	1.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.22	1144	96	8.39	86950000	910000	4.25	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.00	156	12	7.69	13730000	1140000	2.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.12	1960	84	4.29	42710000	510000	3.12	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.22	324	26	8.02	6610000	250000	4.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.06	736	42	5.71	17800000	420000	4.06	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.13	915	57	6.23	34320000	600000	4.75	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.20	39	14	35.90	3560000	250000	4.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.20	1311	126	9.61	58730000	470000	3.03	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.14	124	10	8.06	2540000	250000	1.00	yandex.ru (главная страница)
2021-01-07	Test API Sandbox campaign 1	1.17	282	96	34.04	103730000	1080000	1.50	Я.Каталог
2021-01-07	Test API Sandbox campaign 1	--	45	0	0.00	0	--	--	Я.Каталог
2021-01-07	Test API Sandbox campaign 1	1.11	130	11	8.46	5080000	460000	2.22	3dnews.ru
2021-01-07	Test API Sandbox campaign 1	1.19	1036	56	5.41	26950000	480000	2.44	3dnews.ru
2021-01-07	Test API Sandbox campaign 1	1.22	591	100	16.92	100420000	1000000	3.93	adme.ru
