"ReportLast90_22 (2021-01-07 - 2021-04-06)"
Date	CampaignName	AvgClickPosition	Impressions	Clicks	Ctr	Cost	AvgCpc	AvgPageviews
2021-01-07	Test API Sandbox campaign 1	1.18	162810	13596	8.35	7868640000	580000	3.00
2021-01-08	Test API Sandbox campaign 1	1.18	130362	12921	9.91	7955850000	620000	2.87
2021-01-09	Test API Sandbox campaign 1	1.18	135205	12294	9.09	7620510000	620000	2.90
2021-01-10	Test API Sandbox campaign 1	1.18	150700	12721	8.44	7934490000	620000	2.98
2021-01-11	Test API Sandbox campaign 1	1.18	151355	12395	8.19	8006310000	650000	3.05
2021-01-12	Test API Sandbox campaign 1	1.18	138147	12820	9.28	7622160000	590000	2.84
2021-01-13	Test API Sandbox campaign 1	1.18	148575	13032	8.77	7861530000	600000	2.97
2021-01-14	Test API Sandbox campaign 1	1.18	146077	13081	8.95	7797080000	600000	3.03
2021-01-15	Test API Sandbox campaign 1	1.18	145524	12796	8.79	7715210000	600000	3.14
2021-01-16	Test API Sandbox campaign 1	1.18	159410	13307	8.35	8457330000	640000	3.00
2021-01-17	Test API Sandbox campaign 1	1.18	151268	13084	8.65	7601440000	580000	2.93
2021-01-18	Test API Sandbox campaign 1	1.18	147456	12456	8.45	8228770000	660000	3.03
2021-01-19	Test API Sandbox campaign 1	1.18	136184	13386	9.83	8548470000	640000	2.96
2021-01-20	Test API Sandbox campaign 1	1.18	164366	13454	8.19	9161310000	680000	3.06
2021-01-21	Test API Sandbox campaign 1	1.18	152386	12149	7.97	7380000000	610000	3.17
2021-01-22	Test API Sandbox campaign 1	1.17	146566	12445	8.49	7610080000	610000	3.13
2021-01-23	Test API Sandbox campaign 1	1.18	149399	12966	8.68	7758180000	600000	2.90
2021-01-24	Test API Sandbox campaign 1	1.18	144892	11932	8.24	7193520000	600000	2.95
2021-01-25	Test API Sandbox campaign 1	1.18	151301	13184	8.71	7976690000	610000	3.19
2021-01-26	Test API Sandbox campaign 1	1.17	148592	12154	8.18	7249580000	600000	3.06
2021-01-27	Test API Sandbox campaign 1	1.18	141653	13237	9.34	8019660000	610000	3.13
2021-01-28	Test API Sandbox campaign 1	1.18	140218	13466	9.60	7840550000	580000	3.06
2021-01-29	Test API Sandbox campaign 1	1.18	150579	12674	8.42	7815250000	620000	3.07
2021-01-30	Test API Sandbox campaign 1	1.18	147070	11949	8.12	6958980000	580000	3.08
2021-01-31	Test API Sandbox campaign 1	1.18	144362	13248	9.18	8014450000	600000	3.03
2021-02-01	Test API Sandbox campaign 1	1.18	138679	11834	8.53	7084700000	600000	3.03
2021-02-02	Test API Sandbox campaign 1	1.18	144985	12648	8.72	7978730000	630000	2.95
2021-02-03	Test API Sandbox campaign 1	1.18	152182	13371	8.79	7900810000	590000	2.85
2021-02-04	Test API Sandbox campaign 1	1.18	153158	13293	8.68	7758940000	580000	2.96
2021-02-05	Test API Sandbox campaign 1	1.18	148693	13201	8.88	8053600000	610000	3.16
