"ReportLast90_29 (2021-01-07 - 2021-04-06)"
Date	CampaignName	Impressions	Clicks	Ctr	Cost	AvgCpc	AvgPageviews	Profit	Conversions	Revenue
2021-01-07	Test API Sandbox campaign 1	160844	13615	8.46	8022840000	590000	2.93	0	--	0
2021-01-08	Test API Sandbox campaign 1	137841	13140	9.53	7983180000	610000	2.77	0	--	0
2021-01-09	Test API Sandbox campaign 1	131470	12858	9.78	7846270000	610000	2.89	0	--	0
2021-01-10	Test API Sandbox campaign 1	147668	12729	8.62	8035810000	630000	2.96	0	--	0
2021-01-11	Test API Sandbox campaign 1	151223	12452	8.23	7760210000	620000	2.90	0	--	0
2021-01-12	Test API Sandbox campaign 1	133249	13042	9.79	7830760000	600000	2.97	0	--	0
2021-01-13	Test API Sandbox campaign 1	151421	13208	8.72	7788430000	590000	3.07	0	--	0
2021-01-14	Test API Sandbox campaign 1	145704	12825	8.80	7528220000	590000	3.02	0	--	0
2021-01-15	Test API Sandbox campaign 1	146064	13437	9.20	8067460000	600000	3.14	0	--	0
2021-01-16	Test API Sandbox campaign 1	159267	13255	8.32	8342030000	630000	2.95	0	--	0
2021-01-17	Test API Sandbox campaign 1	151468	12459	8.23	7497200000	600000	2.99	0	--	0
2021-01-18	Test API Sandbox campaign 1	139295	12520	8.99	8034150000	640000	3.05	0	--	0
2021-01-19	Test API Sandbox campaign 1	136265	13648	10.02	8665930000	630000	2.96	0	--	0
2021-01-20	Test API Sandbox campaign 1	158910	12823	8.07	8675850000	680000	3.13	0	--	0
2021-01-21	Test API Sandbox campaign 1	157297	12316	7.83	7433010000	600000	3.14	0	--	0
2021-01-22	Test API Sandbox campaign 1	146388	12366	8.45	7477370000	600000	3.21	0	--	0
2021-01-23	Test API Sandbox campaign 1	145189	12664	8.72	8003640000	630000	2.96	0	--	0
2021-01-24	Test API Sandbox campaign 1	142849	11741	8.22	7014150000	600000	3.03	0	--	0
2021-01-25	Test API Sandbox campaign 1	155026	12867	8.30	7668690000	600000	3.13	0	--	0
2021-01-26	Test API Sandbox campaign 1	146603	11886	8.11	6919320000	580000	3.01	0	--	0
2021-01-27	Test API Sandbox campaign 1	143582	13336	9.29	8132420000	610000	3.17	0	--	0
2021-01-28	Test API Sandbox campaign 1	143026	13179	9.21	7976060000	610000	3.14	0	--	0
2021-01-29	Test API Sandbox campaign 1	149563	13293	8.89	8119700000	610000	2.98	0	--	0
2021-01-30	Test API Sandbox campaign 1	140712	12707	9.03	7359150000	580000	3.12	0	--	0
2021-01-31	Test API Sandbox campaign 1	146034	13182	9.03	7968940000	600000	3.07	0	--	0
2021-02-01	Test API Sandbox campaign 1	147863	11482	7.77	6795760000	590000	3.01	0	--	0
2021-02-02	Test API Sandbox campaign 1	143718	12376	8.61	7737200000	630000	2.93	0	--	0
2021-02-03	Test API Sandbox campaign 1	144449	13135	9.09	7773310000	590000	2.70	0	--	0
2021-02-04	Test API Sandbox campaign 1	156227	13186	8.44	7726140000	590000	2.91	0	--	0
2021-02-05	Test API Sandbox campaign 1	151936	13053	8.59	8302370000	640000	3.19	0	--	0
2021-02-06	Test API Sandbox campaign 1	152471	13299	8.72	7879070000	590000	3.00	0	--	0
2021-02-07	Test API Sandbox campaign 1	154111	12484	8.10	7647710000	610000	3.09	0	--	0
